	bullenei	col_perf	pop_bul	paraensis	popenoei	obtusifolia_A	obtusifolia_B	citrifolia	costaricana	nymphaeifolia	triangulo	trigonata
bullenei	1	0	1	0	0	0	0	0	0	0	0	0
popenoei	0	0	1	0	1	0	0	0	0	0	0	0
citrifolia	0	0	0	0	0	0	0	1	0	0	0	0
paraensis	0	0	0	1	0	0	0	0	0	0	0	0
nymphaeifolia	0	0	0	0	0	0	0	0	0	1	0	0
obtusifolia	0	0	0	0	0	1	1	0	0	1	0	0
colubrinae	0	1	0	0	0	0	0	0	0	0	0	0
costaricana	0	0	0	0	0	0	0	0	1	0	0	0
triangle	0	0	0	0	0	0	0	0	0	0	1	0
trigonata	0	0	0	0	0	0	0	0	0	0	0	1
perforata	0	1	0	0	0	0	0	0	0	0	0	0
